Item ID,Item Name,SKU,Description,Rate,Account,Account Code,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Vendor Number,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory
6642928000000164944,Mortein,,multi insect killer,NGN 6000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 3500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,8.00,NGN 3500.00,0.00,Inventory,true,true,true
6642928000000164975,BNC,,Mosquito Spray,NGN 3500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 3000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,9.00,NGN 4000.00,7.00,Inventory,true,true,true
6642928000000165006,snake -a-way,,snake repelling granules,NGN 110000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 70000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 70000.00,1.00,Inventory,true,true,true
6642928000000165037,Viva Refuse Sacks (BIG),,Refuse Sacks (heavy duty),NGN 1500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,8.00,NGN 1000.00,-2.00,Inventory,true,true,true
6642928000000165068,Refuse Sack (Viva Standard size),,Refuse Sacks,NGN 800.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 600.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 1000.00,33.00,Inventory,true,true,true
6642928000000165099,Refuse sack (ROYAL MASTER KING),,home and offive use,NGN 1200.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 700.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,11.00,NGN 700.00,12.00,Inventory,true,true,true
6642928000000165130,Windolene,,Glass and shiny Surface,NGN 5000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 3000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 3000.00,0.00,Inventory,true,true,true
6642928000000165161,Glass Cleaner Hamfex,,Hamfex,NGN 2700.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,3.00,NGN 1800.00,0.00,Inventory,true,true,true
6642928000000165192,Leather & vinyl Cleaner,,all leather and vinyl surface,NGN 7500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 5000.00,6.00,Inventory,true,true,true
6642928000000165223,Hand Sanitizer,,28 mile DISTILLING CO,NGN 2300.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2000.00,Cost of Goods Sold,,28 Mile Distilling Co. Fool's Gin,Inventory Asset,,fifo,,,,4.00,NGN 2000.00,1.00,Inventory,true,true,true
6642928000000165254,Chamois Cleaner,,soaks up moisture fast,NGN 8000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,3.00,NGN 5000.00,2.00,Inventory,true,true,true
6642928000000165285,Wind Block Air freshener,,Wind Block air freshner,NGN 600.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 350.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,30.00,NGN 350.00,8.00,Inventory,true,true,true
6642928000000165316,Ikeda Liquid (small),,liquid air freshner,NGN 10000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 6500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 6500.00,0.00,Inventory,true,true,true
6642928000000165347,Ikeda Liquid (big),,liquid air freshner,NGN 15000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 10000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,6.00,NGN 10000.00,0.00,Inventory,true,true,true
6642928000000165378,Initial,,Peach Nectar,NGN 25000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 20000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,9.00,NGN 20000.00,5.00,Inventory,true,true,true
6642928000000165409,Ikeda Scent,,Ceramic airf refreshment,NGN 7000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,13.00,NGN 4000.00,5.00,Inventory,true,true,true
6642928000000165440,Astonish Stain Remover,,clears tough stains,NGN 6500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 4000.00,0.00,Inventory,true,true,true
6642928000000165471,anti bacterial surface cleaner Astonish,,Kills 99.9% of bacteria,NGN 6500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 4000.00,2.00,Inventory,true,true,true
6642928000000165502,Astonish Oxy Active Fabric Stain Remover,,clears tough stains,NGN 6500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 4000.00,1.00,Inventory,true,true,true
6642928000000165533,Tile Grout cleaner,,Whitens white grout,NGN 7000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 7000.00,3.00,Inventory,true,true,true
6642928000000165564,Tile & Joint Cleaner,,no acid added,NGN 2500.00,Sales,,,,,,,,goods,2,,,Inactive,Pcs,,NGN 1800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,4.00,NGN 1800.00,4.00,Inventory,true,true,true
6642928000000165595,Bingosil Fresh,,cleaning agent,NGN 2800.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 1800.00,1.00,Inventory,true,true,true
6642928000000165626,Clean All Abro Masters,,all purpose automotive foam c leaner,NGN 3500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 2000.00,1.00,Inventory,true,true,true
6642928000000165657,Multipurpose Foamy Cleaner,,foamy cleaner,NGN 3500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 2000.00,1.00,Inventory,true,true,true
6642928000000165688,The pink stuff  The miracle laundry,,oxi stain remover,NGN 12000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 8000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 8000.00,1.00,Inventory,true,true,true
6642928000000165719,The pink stuff the cleaning paste,,oxi stain remover,NGN 8000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,4.00,NGN 5000.00,3.00,Inventory,true,true,true
6642928000000165750,the pink stuff Miracle Multipurpose Cleaner,,oxi stain remover,NGN 12000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 8000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 8000.00,1.00,Inventory,true,true,true
6642928000000165781,2sure multipourpose liquid wash,,3.6L liquid wash,NGN 5000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,4.00,NGN 2000.00,1.00,Inventory,true,true,true
6642928000000165812,Deep Action cream cleaner,,combat greese & germs,NGN 3000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,13.00,NGN 2500.00,3.00,Inventory,true,true,true
6642928000000165843,Syntethic Chamois,,Super absorbent,NGN 8000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 4000.00,2.00,Inventory,true,true,true
6642928000000165874,Disposable Bedroom Slippers,,Disposable Bedroom Slippers,NGN 2000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,12.00,NGN 1000.00,12.00,Inventory,true,true,true
6642928000000165905,Morning Fresh,,Dishwashing Liquid 1000Ml,NGN 3000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,7.00,NGN 2000.00,0.00,Inventory,true,true,true
6642928000000165936,2sure Original (1000ml),,Dishwasing Liquid 1000ml,NGN 2800.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 1800.00,0.00,Inventory,true,true,true
6642928000000165967,Bravo Max power,,Dishwashing liquid 500ml,NGN 1300.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,3.00,NGN 1000.00,2.00,Inventory,true,true,true
6642928000000165998,2sure Original Dishwashing Liquid 250ml,,Dishwashing Liquid 250ml,NGN 750.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 400.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,3.00,NGN 400.00,0.00,Inventory,true,true,true
6642928000000166029,Hypo Toilet Cleaner (750Ml),,750ml,NGN 5000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 3000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 3000.00,0.00,Inventory,true,true,true
6642928000000166060,Hypo Toilet Cleaner (450 Ml),,450ml,NGN 3500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 2000.00,0.00,Inventory,true,true,true
6642928000000166091,CIF Cleaningboost cream,,500ml,NGN 4500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 3000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 3000.00,11.00,Inventory,true,true,true
6642928000000166122,Harpic Power Plus 10X 45ml,,Clean and Protect,NGN 3000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,14.00,NGN 2500.00,0.00,Inventory,true,true,true
