zoho_item_id,name,sku,description,price,stock_quantity
6642928000000167415,Febreze,,Air Mist,7500,3
6642928000000167446,AIR WICK FRESHMATIC MAX,,AUTOMATIC SPRAY,4000,3
6642928000000167477,Inspire Airfreshner,,Cherry,2000,1
6642928000000167508,Scouring Pad Liao,,All Purpose,800,22
6642928000000167539,Mobi Bright Heavy Duty Scrubbing Pad,,Multipurpose Cleaner,500,185
6642928000000167570,Star Cool,,Sponge Scouring Pad,800,42
6642928000000167601,Hard iron Sponge,,Amanda,500,20
6642928000000167632,Hard iron Sponge Parvenu,,Parvenu,300,98
6642928000000167663,iron sponge amanda scourer (Soft),,,500,30
6642928000000167694,Window cleaner LiAO 35CM,,,6000,1
6642928000000167725,Spray Window Cleaner,,"3 in 1 design Sray, Wipe and Clean",6000,1
6642928000000167756,Safety Googles Steel PRO,,Rubber,8000,2
6642928000000167787,Safety Googles Transparent,,,2200,2
6642928000000167818,Safety Googles Black Edges,,,500,5
6642928000000167849,Trapper Flat (Gorrilla Trap),,Rat and Mice,12000,2
6642928000000167880,Trapper Rubber (T-TREX),,Rat and Mice,15000,3
6642928000000167911,Heavy Duty Carpet Extraction Cleaner,,For high soiling in high traffic areas,52000,1
6642928000000167942,Perfumed Floor Maintainer Jangro,,Professional,120000,0
6642928000000167973,Heavy Duty Cleaner Concentrated,,Jangro professional,115000,1
6642928000000168004,Bar Keepers Friend,,"soft cleanser. Remove rust,lime and stains",26000,1
6642928000000168035,Bar Keepers Friend (340g),,cleanser 340g,17000,1
6642928000000168066,Bar Keepers Friend Multi Surface Cleaner,,Multi Surface Cleaner,20000,2
6642928000000168097,Multi surface Stain Remover,,"Fabrics, Plastics, Hard Surface",4000,6
6642928000000168128,Bin Fresh Buddy,,keeps Bin clean and fresh,10000,1
6642928000000168159,Vanish Oxi Action,,Chlorine Free Fabric Stain  Remover,12000,2
6642928000000168190,Kink Resistant Flat Hose Set 15m,,"Compact Watering Solution, Multi Setrting Spray gun 15m",55000,2
6642928000000168221,Water Spray Gun,,Lithium Battery,100000,2
6642928000000168252,Heavy Duty Cleaner Nilfisk Proflex,,,75000,0
6642928000000168283,Mop Cleaner,,Top Class Dual Wireless,160000,1
6642928000000168314,High Grade Extraction Carpet Powder,,Jangro Professional,125000,1
6642928000000168345,schafer Window Vaccum Cleaner,,with spray bottle,65000,0
6642928000000168376,k3,,,35000,1
6642928000000168407,Fog Mchine,,,90000,1
6642928000000168438,Safety Boot Yellow,,,18000,1
6642928000000168469,Safety Boot Black,,,11000,2
6642928000000168500,Power Wash Soap Cannister,,for fumigation,35000,3
6642928000000168531,Spray Bottle Blue,,For Fumigation,3000,1
6642928000000168562,Spray Bottle Lemon (big),,For Fumigation,8000,2
6642928000000168593,Glass Cleaning Machine Titan,,,170000,1
6642928000000168624,Karcher Spray Bottle with Micro Fibre,,,30000,1
6642928000000168655,Please Keep Clean Sign,,,1500,7
6642928000000168686,Pad Holder,,For Hand Scrubbing Machine,11000,1
6642928000000168717,Farrex Flower Trimmer,,Ferrex product,45000,1
6642928000000168748,Set  of Hand Held Scrubbing Brush,,Yellow and Black,13000,5
6642928000000168779,Kleaner,,Cleaner Expert,6000,1
6642928000000168810,Polishing Bonnet Big,,,7000,2
6642928000000168841,Polishing Bonnet small,,,4000,4
6642928000000168872,Super Buff,,velcro woolen fleece,9000,2
6642928000000168903,Plastic Base Pad (Big),,up tools,9000,2
6642928000000168934,Plastic Base Pad (medium),,up tools,6000,4
6642928000000168965,Plastic Base Pad (small),,up tools,3000,4
6642928000000168996,Vacuum Accessories,,Linear,7000,3
6642928000000169027,Kingfisher Garden Starter Set,,With multifunctional spray Gun,25000,1
6642928000000169058,Soft hand brush,,Mankalong,3000,2
6642928000000169089,Scraper (foreign),,Ash & Red Color,11000,2
6642928000000169120,Litter Picker with black  gun handle,,Black gun handle and black/yellow picker,10500,1
6642928000000169151,Industrial Garden Scissors,,Red and Ash Color,18000,0
6642928000000169182,Pad Holder Otto,,,5500,4
6642928000000169213,Hand brush double face,,hand brush for toilet double face,3500,0
6642928000000169244,Tissue Box,,Sylflora,2500,17
6642928000000169275,Tissue Paper,,softwave whte tissue paper,250,-46
6642928000000169306,Round White Toilet Brush,,,6500,2
6642928000000169337,Elegance Toilet Brush,,Trash can,14000,1
6642928000000169368,Clean Simple fine TOILET Brush,,,7000,1
6642928000000169399,Round Toilet Brush,,,5000,0
6642928000000169430,Dz Morl Toilet Brush,,,13000,2
6642928000000169461,TPR Toilet Brush,,,9000,2
6642928000000169492,Toilet Brush Blossom,,Blossom Toilet brush cylindrical,6000,1
6642928000000169523,Toilet Plunger,,,2000,1
6642928000000169554,Red Metal Plunger,,,3000,2
6642928000000169585,Drain Buster Plunger,,Neat and Tidy my house,3000,2
6642928000000169616,Black Funnel,,,3000,2
6642928000000169647,Bathroom mat,,,10000,0
6642928000000169678,Footmat,,,7000,-2
6642928000000169709,Hoe,,,2500,2
6642928000000169740,Rake,,,4500,3
6642928000000169771,Kleansol Detergent,,General Purpose Detergent 25L,55000,1
6642928000000169802,Double Cover Trash Bin 15L,,,25000,4
6642928000000169833,Double Cover Trash Bin 10L,,,15000,1
6642928000000169864,Pedal Bin,,,25000,2
6642928000000169895,Baiyun Cleaning Bin,,,20000,0
6642928000000169926,Papillon Step Bin,,,21000,2
6642928000000169957,Residual Waste Bin,,,58000,0
6642928000000169988,Lemon Bin,,,35000,0
6642928000000170019,Gray Waste Bin,,,50000,1
6642928000000170050,Lose Trouble Waste bin,,,10000,0
6642928000000170081,Barrel Environmental Waste Bin (12ltr),,12L,7000,2
6642928000000170112,Barrel Environmental Waste Bin (6Ltr),,6L,4000,1
6642928000000170143,Waste Bin Dual Lid Opening,,6.5L,12000,0
6642928000000170174,Stainless Silver Waste Bin,,,40000,1
6642928000000170205,Basket Waste Bin (Big),,,8000,1
6642928000000170236,Basket Waste Bin (Medium),,,6000,-3
6642928000000170267,Basket waste bin  (Small),,,5000,6
6642928000000170298,Rubber Bin,,,5000,9
6642928000000170329,Silicone Scrubbing Gloves,,,5000,1
6642928000000170360,Hand Held Carper Sweeper,,With Dust Pan Attached to it,6500,1
6642928000000170391,Strayer Scraper,,300mm,2500,1
6642928000000170422,Spray Gun INGCO 450W,,,42000,0
6642928000000170453,Caution Mop Bucket (big),,36l yellow mop bucket,92000,1
6642928000000170484,Extension Pole Holder,,,12500,3
6642928000000170515,Easy Squeeze Mop,,,25000,2
6642928000000170546,Easy Squeeze Mop (Small),,,23000,1
6642928000000170577,Taste Life Mop Bucket,,,18000,0
6642928000000170608,Khazom Mop Bucket,,,13000,0
6642928000000170639,Blossom Mop Bucket,,,13000,0
6642928000000170670,Mop Bucket (yellow),,,23000,0
6642928000000170701,konga 360 Round Spin Mop Bucket,,,33000,0
6642928000000170732,Nova Mosquito Killer Lamp,,,15000,0
6642928000000170763,Automatic ToothpastebSqueezing Device,,,3500,1
6642928000000170794,Maestro spin Mop Bucket,,,25000,0
6642928000000170825,Cleaning Kits Carrier,,,15000,2
6642928000000170856,Parker and sweeper (Blossom),2,Blossom packer and sweeper sky blue,9000,4
6642928000000170887,Black Sweeper and Parker,,,21000,2
6642928000000170949,Domestic Cobweb Broom,,,4500,1
6642928000000170980,Feather Duster Extendable,,"Ash Color,Stainless Handle,Easy to Use",10000,2
6642928000000171011,Yjieshi Cotton Swab Mop,,"Super absorbent, Fine Fibre, Decontamination",8000,4
6642928000000171042,Blossom Cotton Yarn Mop,,High Quality and Strong Absorbent,9000,1
6642928000000171073,6MAX COTTON SMALL,,Cleaning More Effieciently,9000,0
6642928000000171104,S N B Mop,,"Metal Handle, Strong Cotton mop",15000,0
6642928000000171135,Floor Scrub Brush,,2 IN 1,5000,2
6642928000000171166,Supreme Floor Wiper,,Green and Black Floor Wiper,3000,1
6642928000000171197,Spray Mop,,Spray And Mop at thesame Time,25000,1
6642928000000171228,St. Chuks Floor Hard Brush,,,7000,1
6642928000000171259,Sweeper full  wooden hand,,Sweeper full  wooden hand,5000,2
6642928000000171290,Millet Broom,,miilet broom with wooden handle,15000,2
6642928000000171321,Simple Mop with Metal Handle,,,13000,1
6642928000000171352,Blue Sky Sweeper,,Stainless Steel Head,9000,4
6642928000000171383,ST. CHUKS Mop and Clean the Dust,,stainless steel handle,15000,0
6642928000000171414,Dust Mop 90CM,,,16000,-2
6642928000000171445,Microfibre Dust Mop 60cm,,,18000,2
6642928000000171476,Dust Mop 60CM,,Cotton,12000,1
6642928000000171507,Dust Mop 40cm,,Cotton,12000,2
6642928000000171538,Dust Mop 50cm,,Cotton,13000,0
6642928000000171569,Bristar Soft Sweeper,,,4500,2
6642928000000171600,DZ Squeeze Mop (Medium),,,15000,0
6642928000000171631,Squeeze Mop (small),,,15000,2
6642928000000171662,Net Fly Trap,,,5000,2
6642928000000171693,Replacea ble Dust Mop (Golden Magnetus) (90cm),,Microfibre 90cm,13000,1
6642928000000171724,Replaceable Dust Mop (Golden Magnetus) (50cm),,Microbre 50CM,8000,0
6642928000000171755,Hard Floor Brush,,,3000,1
6642928000000171786,Industrial Floor Wiper,,,20000,0
6642928000000171817,Industrial Floor Brush,,,25000,1
6642928000000171848,Industrial Floor Sweeper,,,20000,2
6642928000000171879,industrial Gutter Brush (Big),,,23000,1
6642928000000171910,Industrial Gutter Brush (small),,,8000,1
6642928000000171941,Cotton Window Wiper,,,5000,3
6642928000000171972,Parker Plastic handle,,,6500,1
6642928000000172003,Sweeper and Parker with chinnish writting,,,4500,1
6642928000000172034,Golden King Sweeper,,Soft Domestic Sweeper,4000,3
6642928000000172065,Caution Wet Floor,,,20000,2
6642928000000172096,RAF Vacuum Cleaner,,,90000,0
6642928000000172127,Wheelers Bin 120 litters Happy Family with peder),,,65000,1
6642928000000172158,Wheelers Bin Big (240 litters happy Family),,,90000,-1
6642928000000172189,Telescopic Pole,,,85000,1
6642928000000172220,Scrubbing pad (Red),,Buffing pad,20000,1
6642928000000203087,Spin Mop,,,10000,3
6642928000000203143,Sunshine Homes Mop,,,6000,1
6642928000000203199,JXING Cotton Swab Mop,,"High liquid absorption i.e removes stubborn dirt, footprint & kitchen grease",7500,3
6642928000000206079,Bailer Wooden handle,,,3000,3
6642928000000203436,Extendable window wiper,,,10000,0
6642928000000203492,Brown Squeeze,,,21000,1
6642928000000203671,Chinese Broom,,,15000,2
6642928000000203773,Replaceable Flat Mop,,,10000,1
6642928000000203859,Fogging Machine,,,1200000,1
